simulation_id,simulation_title,time_limit,active,created_at,updated_at,rubric_name,rubric_description
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,Aggressive Practice,,True,2025-07-16 23:00:56.474036-04:00,2025-07-16 23:00:56.474036-04:00,TA Rubric,"Evaluates teaching assistants on their pedagogical effectiveness, student interaction quality, and session management"
f2511a01-aaaa-bbbb-cccc-dddddddddddd,Graph Theory Tutoring - DFS/BFS,15,True,2025-07-16 23:00:56.487232-04:00,2025-07-16 23:00:56.487232-04:00,TA Rubric,"Evaluates teaching assistants on their pedagogical effectiveness, student interaction quality, and session management"
f2511a01-aaaa-bbbb-cccc-dddddddddddd,Graph Theory Tutoring - DFS/BFS,15,True,2025-07-16 23:00:56.487232-04:00,2025-07-16 23:00:56.487232-04:00,TA Rubric,"Evaluates teaching assistants on their pedagogical effectiveness, student interaction quality, and session management"
f2511a02-aaaa-bbbb-cccc-dddddddddddd,Mathematical Induction Practice,15,True,2025-07-16 23:00:56.487232-04:00,2025-07-16 23:00:56.487232-04:00,TA Rubric,"Evaluates teaching assistants on their pedagogical effectiveness, student interaction quality, and session management"
f2511a03-aaaa-bbbb-cccc-dddddddddddd,Advanced Data Structures - Trees,15,True,2025-07-16 23:00:56.487232-04:00,2025-07-16 23:00:56.487232-04:00,TA Rubric,"Evaluates teaching assistants on their pedagogical effectiveness, student interaction quality, and session management"
f2511a03-aaaa-bbbb-cccc-dddddddddddd,Advanced Data Structures - Trees,15,True,2025-07-16 23:00:56.487232-04:00,2025-07-16 23:00:56.487232-04:00,TA Rubric,"Evaluates teaching assistants on their pedagogical effectiveness, student interaction quality, and session management"
f2522201-aaaa-bbbb-cccc-dddddddddddd,Analysis of Algorithms,15,True,2025-07-16 23:00:56.488616-04:00,2025-07-16 23:00:56.488616-04:00,TA Rubric,"Evaluates teaching assistants on their pedagogical effectiveness, student interaction quality, and session management"
f2522201-aaaa-bbbb-cccc-dddddddddddd,Analysis of Algorithms,15,True,2025-07-16 23:00:56.488616-04:00,2025-07-16 23:00:56.488616-04:00,TA Rubric,"Evaluates teaching assistants on their pedagogical effectiveness, student interaction quality, and session management"
f2522202-aaaa-bbbb-cccc-dddddddddddd,Networking,15,True,2025-07-16 23:00:56.488616-04:00,2025-07-16 23:00:56.488616-04:00,TA Rubric,"Evaluates teaching assistants on their pedagogical effectiveness, student interaction quality, and session management"
f2522203-aaaa-bbbb-cccc-dddddddddddd,Machine Learning,15,True,2025-07-16 23:00:56.488616-04:00,2025-07-16 23:00:56.488616-04:00,TA Rubric,"Evaluates teaching assistants on their pedagogical effectiveness, student interaction quality, and session management"
